熱感	R232	ほてり
失禁	R32	尿失禁症
色素沈着	L819	色素異常症
水様便	A09	下痢症
感覚障害	R208	体感異常
中途覚醒	G479	睡眠障害
不正出血	N939	不正性器出血
子宮頸癌	C539	子宮頚癌
筋腫	D219	横紋筋腫，平滑筋腫
肝嚢胞	K768	肝のう胞
抑うつ気分	F329	うつ状態
希死念慮	F09	症状精神病
双極性障害	F319	双極性感情障害
認知機能低下	F03	認知症
隆起性病変	D131	胃ポリープ症
腹部痛	R104	腹痛症
膨疹	L509	じんま疹
黄染	R17	黄疸
腎症１期	E142	糖尿病性腎症
膨満	R14	腹部膨満
不顕性誤嚥	T179	異物誤嚥
関節腫脹	M1399	関節炎
腫瘍熱	C80	癌
発赤腫脹	R21	発赤
上気道炎	J069	急性上気道炎
硬便	R195	便異常
筋緊張	M6289	筋強直
過呼吸	R064	過換気症
残便感	K590	便秘症
潜血	R31	顕微鏡的血尿
呼吸障害	J060,J969	呼吸困難，呼吸不全
認知機能障害	F067	軽度認知障害
肺結節	A162	結節性肺結核
過形成性ポリープ	K317	胃過形成ポリープ
不安焦燥	F411	不安緊張状態
右肩痛	M758	肩部痛
胃癌腹膜播種	C169	胃癌
胸腹水貯留	J90,R18	胸水貯留，腹水症
胸部絞扼感	R098	胸部不快感
左肩痛	M758	肩部痛
高度肥満	E669	肥満症
骨破壊	M0690	関節リウマチ
多発転移	C80	多発性癌転移
薬剤熱	R509	発熱
血流障害	I739	末梢循環障害
循環障害	I739	末梢循環障害
小細胞癌	C80	癌
非定型抗酸菌症	A319	非結核性抗酸菌症
左大腿骨頚部骨折	S7240	大腿骨顆部骨折
消化管穿孔	S367	胃腸管穿孔破裂，胃腸管損傷
左上下肢麻痺	G825	四肢麻痺
胆嚢腫大	K828	胆のう肥大
胆嚢壁肥厚	K828	胆のう肥大
血栓形成	I749	動脈血栓症
口腔乾燥	R682	口内乾燥
関節症性乾癬	L405	乾癬性関節炎
鮮血便	K921	血便
眼球上転	H519	眼球運動障害
排便時出血	R195	便潜血
摂食不良	R198	摂食機能障害
発赤疹	L539	紅斑症
気分不快感	F39	気分異常
未破裂動脈瘤	I729	動脈瘤
左副腎腺腫	D441	副腎腫瘍
経口摂取不良	R198	摂食機能障害
左膝関節痛	M179	膝関節症
蝶形紅斑	L539	紅斑症
不安症状	F419	不安障害
感覚鈍麻	R202	感覚異常症
集簇	L701,D229	集簇性ざ瘡，点状集簇性母斑
細気管支炎	J219	急性細気管支炎
狭心痛	I209	狭心症
右上腹部痛	R101	上腹部痛
急性前立腺炎	N410	急性細菌性前立腺炎
胃腸障害	K319	急性胃腸障害
慢性腎障害	N189	慢性腎不全
多関節炎	M1300	多発性関節炎
灼熱感	R398,R448	排尿時灼熱感，咽頭灼熱感
前立腺腫大	N40	前立腺肥大症
筋緊張低下	P942,G711	先天性筋緊張低下，筋緊張性障害
関節変形	Q749	関節奇形
骨髄腫	C900	多発性骨髄腫
肝浸潤	C787	転移性肝腫瘍
線状影	R91	胸部異常陰影
椎体炎	M4699	脊椎炎
過換気	R064	過換気症
大うつ病	F339	単極性うつ病
黒色斑	L818	色素斑
右大腿部痛	M7965	大腿痛
絞扼感	R098	胸部不快感
真性多血症	D45	真性赤血球増加症
水様下痢	A09	下痢症
軟部腫瘤	D481	軟部腫瘍
被害関係妄想	F220	関係妄想，被害妄想
食事摂取不良	F509,R198	摂食障害，摂食機能障害
神経性食思不振症	F500	神経性食欲不振症
脱抑制	F942	小児期脱抑制性愛着障害
右胸部痛	R073	側胸部痛
膵内分泌腫瘍	D377	膵神経内分泌腫瘍
褐色尿	R822	ビリルビン尿
両側感音性難聴	H903	両側性感音難聴
髄膜播種	D329	髄膜腫
脂肪沈着	K760	脂肪肝
左副腎腫瘤	D441	副腎腫瘍
中枢神経浸潤	T144	中枢神経系損傷
右腰背部痛	M5456	腰痛症
心窩部圧痛	R529	圧痛
膀胱壁肥厚	N328	膀胱頚部肥厚
成熟嚢胞性奇形腫	D489,D27	奇形腫，卵巣成熟のう胞性奇形腫
発作波	R940	異常脳波
声門下狭窄	J386	喉頭狭窄症
脱色素斑	L818	色素斑
骨盤内腫瘍	D489,D487	腫瘍，骨盤腫瘍
右頸部リンパ節腫脹	R599	リンパ節腫大
軽度腎障害	N289,R944	腎機能低下，腎機能検査異常
巨細胞性動脈炎	M316	巨細胞動脈炎
慢性下痢	K529	慢性下痢症
腫瘍病変	C80	癌
脳虚血	I678	脳虚血症
知覚過敏	R203	皮膚知覚過敏
大球性正色素性貧血	D649	正色素性貧血
肺ＭＡＣ症	A310	肺非結核性抗酸菌症
眼瞼結膜	H105	眼瞼結膜炎
致死性不整脈	I499	不整脈
全身関節痛	M2550,M2559	多発性関節症，関節痛
全身リンパ節腫脹	R599	リンパ節腫大
感染性肺炎	J129	ウイルス性肺炎
中心性肥満	E669	肥満症
小葉中心性粒状影	J432	中心小葉性肺気腫
筋把握痛	M7919	筋肉痛
腹腔内リンパ節腫脹	R599	リンパ節腫大
口唇腫脹	S005,R220	口唇外傷性腫脹，顔面腫脹
カリニ肺炎	B206	ＨＩＶカリニ肺炎
骨嚢胞	M8569	外傷性骨のう胞
四肢失調	R298	四肢運動障害
限局型全身性強皮症	M340	全身性強皮症
右上下肢不全麻痺	G819	不全片麻痺
アシデミア	E878,E872	酸塩基平衡異常，アシドーシス
中枢神経障害	T144	中枢神経系損傷
微量アルブミン尿	E880	低アルブミン血症
一過性意識消失	R402	意識消失
中枢性甲状腺機能低下症	E039	甲状腺機能低下症
粘液貯留	E877	体液貯留
摂食困難	R198	摂食機能障害
腸雑音	R191	腸音亢進，腸音欠如
高インスリン性低血糖症	E162,E161	低血糖，高インスリン血症
ＳＭＡ症候群	K315	上腸間膜動脈症候群
間質性肺炎合併	J849	間質性肺炎
右腸腰筋膿瘍	M6009	筋膿瘍
間質性肺炎像	J849	間質性肺炎
意識低下	R402	意識消失
房室弁逆流	I071,I340	三尖弁逆流，僧房弁逆流症
腫瘍出血	D489	腫瘍
肝叩打痛	K805	肝仙痛
唾液腺腫脹	K111	唾液腺肥大
腹腔内リンパ節腫大	R599	リンパ節腫大
左室壁運動異常	I490	心室粗動
下壁心筋梗塞	I211	急性下壁心筋梗塞
赤血球円柱	R829	尿中円柱
凍瘡様皮疹	T691	凍瘡
労作時胸部圧迫感	R098	胸部不快感
食道裂孔	K223	食道穿孔
血疱	T140	血腫
多発肝細胞癌	D376	肝腫瘍
