出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	紅斑性間擦疹
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	膀胱白板症
痰貯留多	喀痰	肺活量減少
皮膚リンパ腫	菌状息肉症	糖原病
個細胞壊死	壊死	多尿
左大腿骨顆上骨折	大腿骨外顆骨折	多尿
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	胸膜播種
口腔粘膜浮腫	浮腫	視路疾患
腟粘膜発赤	発赤	完全大血管転位症１型
レム睡眠行動異常症	レム睡眠行動障害	肺活量減少
閉塞性膵炎	膵炎	眼瞼異物残留
脱髄性疾患	脱髄疾患	床形態歯周治療用装置破損
多発性脾膿瘍	脾膿瘍	前足部痛
間質性肺水腫	肺水腫	ＨＴＬＶ−１感染症
無動性無言	無動性無言症	内側半月板断裂
舌扁平上皮癌	舌癌	ＴＦＣＣ損傷
両側肺門部浸潤影	胸部異常陰影	手掌部皮下腫瘤
軽度悪心	悪心	内側半月板断裂
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	化膿性リンパ節炎
蛋白尿減少	蛋白尿	胸膜播種
脳障害	脳症	内反小趾
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	産科的創傷の血腫
左一側性反回神経麻痺	一側性反回神経麻痺	グラム陽性桿菌感染症
イレウス様	イレウス	胸膜播種
膵炎併発	膵炎	視路疾患
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	胸膜播種
抗癌剤漏出	薬剤漏出性皮膚障害	線維筋痛症
水痘帯状疱疹	帯状疱疹	化膿性リンパ節炎
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	胸膜播種
発汗多量	多汗症	化膿性リンパ節炎
早発黄疸	早発性黄疸	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
急性細菌性気管支炎	急性気管支炎	膀胱白板症
右上葉肺小細胞癌	上葉肺大細胞癌	抗生物質起因性腸炎
腟癌１期	腟癌	抗生物質起因性腸炎
会陰部発赤	発赤	化膿性リンパ節炎
嚥下時痛軽度	嚥下痛	症候性そう痒症
左顔面血管腫	顔面血管腫	若年者キーンベック病
鼻汁多く	鼻汁	気道閉塞
口腔内出血痕	口腔出血	内反小趾
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	胸膜播種
夜両足痛	足痛	症候性そう痒症
左後頭葉梗塞	脳梗塞	産科的創傷の血腫
左内眼角基底細胞癌	眼角基底細胞癌	若年者キーンベック病
難治性イレウス	イレウス	胸膜播種
副鼻腔腫瘍	鼻副鼻腔腫瘍	大動脈弁狭窄症兼三尖弁閉鎖不全症
大腸菌菌血症	菌血症	胸膜播種
右前頭葉出血	脳出血	内反小趾
左膝部痛	膝窩部痛	エーテル中毒症
仙椎陳旧性骨折	陳旧性骨折	第４趾有棘細胞癌
乳癌既往	乳癌	抗生物質起因性腸炎
軽度咽頭発赤	咽頭発赤	内反小趾
痙攣起	痙攣	内反小趾
下肢浮腫圧痕	下肢浮腫	内反小趾
左側頬部腫脹	頬部腫脹	大動脈弁狭窄症兼三尖弁閉鎖不全症
心室中隔穿孔	心室中隔欠損症	近視
四肢浮腫軽度	四肢浮腫	内反小趾
大腸ポリープ　ポリペク後	大腸ポリープ	胸膜播種
腰椎椎体椎間板炎	腰椎椎間板炎	総胆管のう腫
左下葉肺炎悪化	大葉性肺炎	網膜静脈血栓症
ぼんやり感持続	反応性低下	症候性そう痒症
右鼠径部痛	鼡径部痛	大動脈弁狭窄症兼僧帽弁閉鎖不全症兼三尖弁閉鎖不全症
皮疹不変	発疹	内反小趾
創部痛	術創部痛	内反小趾
