出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	副腎神経芽腫
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	ウェンケバッハ型第２度房室ブロック
痰貯留多	喀痰	歯冠補綴物過高
皮膚リンパ腫	菌状息肉症	皮膚良性リンパ腺腫症
個細胞壊死	壊死	腎髄質壊死
左大腿骨顆上骨折	大腿骨外顆骨折	大腿骨顆上骨折
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	非感染性大腸炎
口腔粘膜浮腫	浮腫	口腔粘膜下気腫
腟粘膜発赤	発赤	痂皮性膿痂疹
レム睡眠行動異常症	レム睡眠行動障害	レム睡眠行動障害
閉塞性膵炎	膵炎	閉塞性肺炎
脱髄性疾患	脱髄疾患	脱髄疾患
多発性脾膿瘍	脾膿瘍	多発性肝膿瘍
間質性肺水腫	肺水腫	非心原性肺水腫
無動性無言	無動性無言症	無動性無言症
舌扁平上皮癌	舌癌	肺扁平上皮癌
両側肺門部浸潤影	胸部異常陰影	肺門部異常陰影
軽度悪心	悪心	軽度難聴
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	ＥＢウイルス伝染性単核症
蛋白尿減少	蛋白尿	蛋白尿
脳障害	脳症	腎障害
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	中心性漿液性網脈絡膜症
左一側性反回神経麻痺	一側性反回神経麻痺	一側性反回神経麻痺
イレウス様	イレウス	亜イレウス
膵炎併発	膵炎	肺炎合併肺膿瘍
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	肝ヘモクロマトーシス
抗癌剤漏出	薬剤漏出性皮膚障害	抗癌剤漏出性皮膚障害
水痘帯状疱疹	帯状疱疹	帯状疱疹
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
発汗多量	多汗症	多量出血
早発黄疸	早発性黄疸	早発性黄疸
急性細菌性気管支炎	急性気管支炎	慢性化膿性気管支炎
右上葉肺小細胞癌	上葉肺大細胞癌	上葉肺大細胞癌
腟癌１期	腟癌	痔瘻癌
会陰部発赤	発赤	ＭＲＳＡ術後創部感染
嚥下時痛軽度	嚥下痛	嚥下痛
左顔面血管腫	顔面血管腫	顔面血管腫
鼻汁多く	鼻汁	鼻汁
口腔内出血痕	口腔出血	口腔出血
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	ＡＩＤＳ
夜両足痛	足痛	足背痛
左後頭葉梗塞	脳梗塞	急性後側部心筋梗塞
左内眼角基底細胞癌	眼角基底細胞癌	眼角基底細胞癌
難治性イレウス	イレウス	閉塞性イレウス
副鼻腔腫瘍	鼻副鼻腔腫瘍	鼻副鼻腔腫瘍
大腸菌菌血症	菌血症	大腸菌感染症
右前頭葉出血	脳出血	外陰部出血
左膝部痛	膝窩部痛	膝窩部痛
仙椎陳旧性骨折	陳旧性骨折	鼻骨陳旧性骨折
乳癌既往	乳癌	子宮筋腫摘出後後遺症
軽度咽頭発赤	咽頭発赤	咽頭発赤
痙攣起	痙攣	痙攣
下肢浮腫圧痕	下肢浮腫	下肢浮腫
左側頬部腫脹	頬部腫脹	頬部腫脹
心室中隔穿孔	心室中隔欠損症	鼻中隔穿孔
四肢浮腫軽度	四肢浮腫	四肢浮腫
大腸ポリープ　ポリペク後	大腸ポリープ	小腸ポリープ
腰椎椎体椎間板炎	腰椎椎間板炎	腰椎椎間板炎
左下葉肺炎悪化	大葉性肺炎	急性下後壁心筋梗塞
ぼんやり感持続	反応性低下	不潔恐怖症
右鼠径部痛	鼡径部痛	前胸壁痛
皮疹不変	発疹	神経皮膚症候群
創部痛	術創部痛	項部痛
軽度右気胸	気胸	漏斗胸
腸閉塞歴	イレウス	結腸閉塞
左大腿骨骨折	大腿骨骨折	大腿骨骨折
紅斑局面多発	紅斑症	急性後部多発性斑状色素上皮症
下部進行食道癌	食道癌	上部食道癌
無γグロブリン血症	無ガンマグロブリン血症	無ハプトグロブリン血症
子宮頸管ポリープ切除	子宮頚管ポリープ	子宮頚管ポリープ
手首疼痛	疼痛	手関節痛
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
体動時息ぎれ	労作時呼吸困難	静止時振戦
