出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	転移性膵腫瘍
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	しびれ感
痰貯留多	喀痰	舌癌
皮膚リンパ腫	菌状息肉症	ＭＲＳＡ腸炎
個細胞壊死	壊死	下肺野陰影
左大腿骨顆上骨折	大腿骨外顆骨折	屈曲拘縮
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	腎盂拡張
口腔粘膜浮腫	浮腫	脛骨骨幹部骨折
腟粘膜発赤	発赤	殻状歯
レム睡眠行動異常症	レム睡眠行動障害	脊椎疾患
閉塞性膵炎	膵炎	上腕静脈血栓症
脱髄性疾患	脱髄疾患	足根骨骨折
多発性脾膿瘍	脾膿瘍	心窩部痛
間質性肺水腫	肺水腫	子宮筋腫術後
無動性無言	無動性無言症	悪性リンパ腫
舌扁平上皮癌	舌癌	反応性発疹症
両側肺門部浸潤影	胸部異常陰影	全身痛
軽度悪心	悪心	アルカローシス
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	副腎性器症候群
蛋白尿減少	蛋白尿	頚部脂肪腫
脳障害	脳症	倦怠感
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	咽頭発赤
左一側性反回神経麻痺	一側性反回神経麻痺	心耳相同
イレウス様	イレウス	線状強皮症
膵炎併発	膵炎	不安緊張状態
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	乳房腫瘤
抗癌剤漏出	薬剤漏出性皮膚障害	好中球Ｇ６ＰＤ欠乏症
水痘帯状疱疹	帯状疱疹	発赤
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	甲状腺欠損
発汗多量	多汗症	胆管拡張症
早発黄疸	早発性黄疸	精巣上体腫瘤
急性細菌性気管支炎	急性気管支炎	気管支喘息発作
右上葉肺小細胞癌	上葉肺大細胞癌	Ｉ細胞病
腟癌１期	腟癌	骨巨細胞腫
会陰部発赤	発赤	骨盤痛
嚥下時痛軽度	嚥下痛	環状紅斑
左顔面血管腫	顔面血管腫	縦隔炎
鼻汁多く	鼻汁	アルコール性神経筋障害
口腔内出血痕	口腔出血	不整脈原性右室心筋症
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	脳室拡大
夜両足痛	足痛	多指症
左後頭葉梗塞	脳梗塞	良性腫瘍
左内眼角基底細胞癌	眼角基底細胞癌	足部変形
難治性イレウス	イレウス	腫瘍
副鼻腔腫瘍	鼻副鼻腔腫瘍	閉塞性睡眠時無呼吸
大腸菌菌血症	菌血症	外傷性頭蓋内出血
右前頭葉出血	脳出血	原発性肺癌
左膝部痛	膝窩部痛	後頭部帯状疱疹
仙椎陳旧性骨折	陳旧性骨折	異常腸音
乳癌既往	乳癌	下垂体良性腫瘍
軽度咽頭発赤	咽頭発赤	脳出血
痙攣起	痙攣	鎖骨上リンパ節腫脹
下肢浮腫圧痕	下肢浮腫	腎障害
左側頬部腫脹	頬部腫脹	星状芽細胞腫
心室中隔穿孔	心室中隔欠損症	肺扁平上皮癌
四肢浮腫軽度	四肢浮腫	周期性腹痛
大腸ポリープ　ポリペク後	大腸ポリープ	ノカルジア症
腰椎椎体椎間板炎	腰椎椎間板炎	急性心不全
左下葉肺炎悪化	大葉性肺炎	気うつ
ぼんやり感持続	反応性低下	夜間性喘息
右鼠径部痛	鼡径部痛	前胸部腫瘤
皮疹不変	発疹	汎発性帯状疱疹
創部痛	術創部痛	骨腫瘤
軽度右気胸	気胸	高位腟裂傷
腸閉塞歴	イレウス	緊張性気胸
左大腿骨骨折	大腿骨骨折	転移性副腎腫瘍
紅斑局面多発	紅斑症	カンジダ性口内炎
下部進行食道癌	食道癌	胸膜肥厚
無γグロブリン血症	無ガンマグロブリン血症	ＲＡＥＢ−ｔ
子宮頸管ポリープ切除	子宮頚管ポリープ	深部静脈血栓症
手首疼痛	疼痛	先天性胆のう欠損
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	骨粗鬆症
体動時息ぎれ	労作時呼吸困難	下痢症
一部浮腫	浮腫	結節性痒疹
ふらつき注意	よろめき歩行	気管支喘息
左中耳炎	中耳炎	胃瘻開口部に対する手当て
胃食道逆流症状	胃食道逆流症	特発性気胸
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	足関節強直
新出肝転移	転移性肝癌	脳幹神経膠腫
脊椎カリエス	脊椎結核	乳房上外側部乳癌
行動障害	素行障害	尺骨神経麻痺
妊娠性糖尿病	妊娠糖尿病	腹部腫瘤
小豆大紅斑	紅斑症	顔面紅潮
ＦＳＧＳ	巣状糸球体硬化症	全失語症
左寛骨臼骨折	寛骨臼骨折	不眠症
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	頭位変換性めまい
腹腔鏡補助下子宮筋腫核	子宮筋腫	発熱
両下肢静脈血栓	下肢静脈血栓症	大腿部蜂巣炎
神経根障害	神経根炎	肺炎球菌性敗血症
クモ膜下出血	くも膜下出血	低血糖
後鼻汁症候群	後鼻漏	上肢不全麻痺
糖尿病性腎症１期	腎性糖尿	残遺型統合失調症
左臀部慢性膿皮症	慢性膿皮症	嘔吐症
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	葉状腫瘍
左前頭葉心原性脳梗塞	心原性脳塞栓症	アレルギー
閉塞性尿路感染	尿路感染症	圧痛
顔面蝶形紅斑	ＬＥ蝶形皮疹	上肢骨折
上行結腸癌肝転移	転移性肝癌	筋力低下
仙骨部色素沈着	色素異常症	半月体形成性糸球体腎炎
肥満糖尿病	糖尿病	病的骨折
左肩痛み	肩部筋痛	胸膜播種
ＰＳＶＴ発作	発作性上室頻拍	前胸部痛
顎変形症術後顎変形症	顎変形症	不安障害
ＤＭＮ　２期	糖尿病	ヘルペス脳炎
労作時胸部絞扼感	胸内苦悶	感染性腹部大動脈瘤
右膝変形	変形性膝関節症	２型双極性障害
指趾潰瘍	趾皮膚潰瘍	眼窩腫瘤
２型食道癌	食道癌	大腿ヘルニア嵌頓
骨性腫瘤	腫瘤	鎖骨上リンパ節腫脹
外傷性脊髄損傷	脊髄損傷	歩行困難
下肢結節性紅斑	結節性紅斑	根管側壁穿孔
左動眼神経麻痺	動眼神経麻痺	慢性特発性血小板減少性紫斑病
家族性海綿状血管腫	海綿状血管腫	発赤
術中直腸損傷	直腸損傷	アルコール性多発ニューロパチー
下肢動脈瘤	下肢の動脈瘤	背部痛
精神病様症状	精神病	膝窩動脈瘤
項頸部痛	頚部痛	尋常性疣贅
頸部白斑	白斑	胃癌骨転移
左大腿骨転子部粉砕骨折	転子下骨折	膵管内乳頭粘液性腫瘍
最近眠気	非器質性過眠症	転移性肝腫瘍
ＶＨＤ	心臓弁膜症	塞栓性小脳梗塞
夜頻尿	夜間頻尿症	膿瘍
回盲部炎	回盲部憩室炎	大腿骨近位部骨腫瘍
重症肺血栓塞栓症	肺塞栓症	急性リンパ性白血病
左歯痛	歯痛	脳症
腹膜播種切除	腹膜播種	健忘症
右乳突蜂巣	乳様突起炎	知覚障害
右肺尖部気胸	気胸	ＶＡＴＥＲ症候群
骨盤内子宮内膜症	子宮内膜症	原発性肺癌
左頬部痛	頬部痛	眼瞼結膜炎
局麻薬アレルギー	薬物過敏症	近視性網膜症
肺クリプトコックス症	急性肺クリプトコッカス症	大腸癌
右肩関節亜脱臼半横指	肩関節亜脱臼	多剤耐性腸球菌感染症
慢性蕁麻疹	慢性じんま疹	急性潰瘍性大腸炎
マラセチア毛嚢炎	マラセチア毛包炎	腎結核
高分化型漿液性腺癌	癌	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
腫瘍床	腫瘍	Ｂ群溶連菌感染症
左膀胱尿管逆流症	膀胱尿管逆流	脂質異常症
外側疼痛	疼痛	多発性擦過創
卵巣癌再発卵巣癌	卵巣癌	ＨＩＶ感染
錐体路病変	錐体外路系疾患	直腸皮膚瘻
リンパ球性白血病	リンパ性白血病	ＣＡＤＡＳＩＬ
クラミジア感染	クラミジア感染症	濾出性腹水
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	胸部腫脹
夜間倦怠感	倦怠感	悪性リンパ腫
脳血栓塞栓症	脳血管閉塞性脳梗塞	チョコレートのう胞
左リウマチ性肘関節症	関節リウマチ・膝関節	皮下結節
右下腿潰瘍感染	下腿皮膚潰瘍	悪性リンパ腫
気分不快時	悪心	鼡径部腫脹
問題なし前立腺肥大	前立腺肥大症	鎖骨上リンパ節腫脹
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	下腿コンパートメント症候群
脂肪性腫瘤	脂肪腫	肺良性腫瘍
ウィルス性肺炎	肺炎	呼吸困難
類円形紅斑	紅斑症	胸部異常陰影
書字不能	書痙	手屈筋腱腱鞘炎
肺動脈狭窄	肺動脈狭窄症	移植性前房のう胞
夜間不眠状態	不眠症	肺門部異常陰影
熱型	発熱	播種性血管内凝固
骨盤内充実性腫瘍	骨盤腫瘍	網膜剥離
夢遊病	夢遊症	ＣＡＲＡＳＩＬ
脊髄小脳変性症６型	脊髄小脳変性症	副腎皮質機能低下症
左内頚動脈閉塞	内頚動脈閉塞症	Ｂ群溶連菌保菌者
両側角乾燥性結膜炎	結膜炎	感染性心内膜炎
脳虚血症状	脳虚血症	尿管損傷
微熱持続	微熱	水晶体膿瘍
夕方浮腫	浮腫	下腿蜂巣炎
眼性疲労	眼精疲労	発熱
直腸肛門奇形	鎖肛	ＭＲＳＡ腸炎
右大腿部腫瘍	大腿悪性軟部腫瘍	中大脳動脈閉塞症
頚椎症神経根症	頚椎症性神経根症	低血糖
壊死性遊走性紅斑	遊走性紅斑	殿部悪性軟部腫瘍
睡眠障害招くリスク	睡眠障害	尿失禁症
上大静脈血栓	静脈血栓症	リンパ節腫大
骨盤内ＬＮ転移	骨盤内リンパ節転移	心窩部痛
ＰＫＤ	多発性のう胞腎	下行結腸腫瘍
分水嶺脳梗塞	脳梗塞	側胸部痛
上皮性腫瘍	腫瘤	持続痛
大球性正色素貧血	大球性貧血	偽緑内障
挙上空腸穿孔	腸穿孔	鎖骨上転移性腫瘍
腸管アメーバ感染症	腸アメーバ症	膝関節痛
放射線性皮膚炎	放射線皮膚炎	肺腫瘤
肛門周囲びらん	外痔びらん	胆汁うっ滞
髄膜炎徴候	髄膜炎	前立腺癌再発
胸部不快	胸内苦悶	ＨＣＡＨＣ
下葉肺炎	肺炎	膿性痰
右足根部粉砕骨折	粉砕骨折	慢性疲労症候群
蛋白漏出胃腸症	蛋白漏出性胃腸症	血性腹水
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	大腿部蜂巣炎
出血多量	急性大量出血	ＧＢＳ敗血症
腹水多量	腹水症	異物誤嚥
腸間膜リンパ管腫	リンパ管腫	腫瘤
右卵巣悪性腫瘍	卵巣悪性腫瘍	臍部腫瘤
糖尿病（２型）	２型糖尿病	膵炎
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	中葉症候群
右乳腺線維腫症	線維腫	下肺野陰影
肺野鬱血像	肺野異常陰影	うつ病
児嘔気	嘔気	左心房粘液腫
尿閉歴	尿閉	中葉肺扁平上皮癌
陰嚢びらん	陰のうびらん	術後顔面神経麻痺
精神的ショック	ショック	心音図異常
右上腕骨外側上顆炎	外側上顆炎	頚部脊柱管狭窄症
子宮頚上皮内癌	子宮頚部上皮内癌	ＨＤＬＳ
難治性非定型性抗酸菌症	非結核性抗酸菌症	甲状腺未分化癌
軽度腹水	腹水症	記憶錯誤
湿疹様	湿疹	肝門部リンパ節転移
大後頭孔狭窄	軟骨形成不全症	社会不安障害
熱型変化	発熱	小脳出血
右無機能腎	無機能腎	仙骨腫瘍
月経痛コントロール不十分	月経痛	胸部大動脈損傷
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	大腸粘液癌
右ＤＶＴ	深部静脈血栓症	ヘルペス角膜炎
非特異的胸痛	胸痛	テント上下転移性腫瘍
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	ＨＤＬＳ
重症細菌性敗血症	敗血症	脊髄硬膜外膿瘍
逆行性健忘	逆向性健忘	胸椎多発圧迫骨折
腹直筋膜下血腫	筋肉内血腫	落ち込み
関連腎臓病	腎疾患	隅角癒着
認知症様症状	認知症	小脳出血
顎骨骨折	下顎骨骨折	胃癌末期
高度大動脈弁狭窄	大動脈弁狭窄症	大量便
右顔面骨骨折	顔面骨骨折	両側性感音難聴
炎症性粉瘤	粉瘤	卒倒
左腰部疼痛	腰痛症	腸壊死
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	内頚動脈狭窄症
脂質異常症（＋）	脂質異常症	四肢端しびれ
上腹部圧痛	腹部圧痛	耳痛症
両側椎骨動脈瘤	椎骨動脈瘤	胸膜播種
非ケトン性高血糖	高血糖高浸透圧症候群	喀痰喀出困難
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	棘刺創
声帯浮腫	声帯炎	転移性肝癌
誤嚥性肺炎併発	誤嚥性肺炎	大腿骨病的骨折
咳嗽持続	咳	肝腫瘤
左側下顎骨嚢胞	顎骨のう胞	ＭＲＳＡ感染症
右末梢前庭障害	末梢前庭障害	反復性胸痛
胆管閉鎖症	胆管閉塞症	拘束性換気障害
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	分類不能免疫不全症
洞不全	洞不全症候群	下葉肺扁平上皮癌
特発性リンパ浮腫	リンパ浮腫	イレウス
シャント吻合部狭窄	透析シャント狭窄	ＣＡＤＡＳＩＬ
無気力	無力症	リンパ節転移
胸骨炎	胸骨周囲炎	肺塞栓症
ナッツアレルギー	ピーナッツアレルギー	両側性感音難聴
甲状腺乳頭癌術後再発	甲状腺乳頭癌	血腫
上肢疼痛	疼痛	気うつ
Ｔｕｒｎｅｒ症候群	ターナー症候群	ヘルペスウイルス感染症
肝臓機能障害用	肝機能障害	巨大子宮筋腫
左心不全徴候	心不全	Ｃ型非代償性肝硬変
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	逆流性食道炎
後発頚部転移	頚部転移性腫瘍	労作時呼吸困難
下痢治	下痢症	そう痒
朝方疼痛	疼痛	ウイルス性脳炎
蜂窩肺形成	蜂窩織炎	眼振
右ＩＣＡ高度狭窄	内頚動脈狭窄症	慢性血栓塞栓性肺高血圧症
膵体部嚢胞	膵のう胞	足背骨折
右気管支狭窄	気管支狭窄症	ＨＤＬＳ
非ヘルペス性辺縁系脳炎	辺縁系脳炎	血腫
無症候性ＶＴ	心室頻拍	感冒
好酸球増多	好酸球増加症	卵巣奇形腫
口腔清掃	個人衛生の著しいレベル低下	食道小細胞癌
両下腿皮膚潰瘍	下腿皮膚潰瘍	膿性痰
無石性胆嚢炎	胆のう炎	足関節開放性脱臼骨折
ｓ型ポリープ	ポリープ	急性肺炎
時折頭痛	頭痛	もやもや病
関節リウマチ発症	関節リウマチ	膝関節症
残像腫瘍	腫瘍	妊娠
両顎下腺腫大	顎下腺肥大	外腸骨動脈狭窄
夜間中途覚醒時	睡眠障害	食道障害
今朝頭痛	頭痛	細菌性腸炎
眼球偏移	眼球偏位	前庭障害
腹腔内癒着高度	腹膜癒着	股関節損傷
右母指多指症	多指症	ヘルペスウイルス髄膜炎
薬剤性骨髄抑制	骨髄機能低下	脊柱管狭窄症
肥満	肥満症	口腔乾燥症
網膜中心動脈閉塞	網膜中心動脈閉塞症	口呼吸
中枢神経悪性リンパ腫再発	悪性リンパ腫	子宮頚管狭窄症
旅行者下痢症	下痢症	ＭＲＣＮＳ感染症
右声帯ポリープ	声帯ポリープ	膀胱側壁部膀胱癌
非Ｂ非Ｃ型肝硬変	肝硬変症	浮腫
頭部皮下結節	皮下結節	熱性痙攣
足がむくみ	下肢浮腫	陰のう浮腫
下肢潰瘍	下肢皮膚潰瘍	下肢静脈瘤
難治性胸腹水	難治性腹水	上肢筋力低下
幻覚症状	幻覚	尿溢出
異常腫瘤	腫瘤	胸膜腫瘍
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	複視
左側頭葉膠芽腫	側頭葉膠芽腫	増殖性網膜症
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	純型肺動脈閉鎖
右後角脳室内出血	脳室内出血	二次性甲状腺機能低下症
難治性浮腫	高度浮腫	一側上肢振戦
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	胃静脈瘤破裂
再発脊索腫	脊索腫	器質性緊張病性障害
Ｃ型肝硬変症	Ｃ型肝硬変	胃幽門部癌
左踵部悪性黒色腫	踵部悪性黒色腫	踵骨骨折
未分化癌	癌	脊髄硬膜外膿瘍
両側副腎悪性リンパ腫	悪性リンパ腫	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
帯状疱疹無	帯状疱疹	頬部有棘細胞癌
左膝痛み	膝関節痛	皮膚腫瘍
右下腿痛	下腿痛	高脂血症
気管支喘息症状	気管支喘息	心室細動
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	非特異的ＳＴ−Ｔ変化
炎症性貧血	貧血	副甲状腺腺腫
両下肢掻痒感	皮膚そう痒症	視神経脊髄炎
右後頭葉脳挫傷	脳挫傷	ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫
女性化乳房	女性化乳房症	骨腫瘤
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	子宮体癌
右大脳半球多発脳梗塞	多発性脳梗塞	喀痰
大動脈弁膜症	大動脈弁弁膜症	急性肺炎
鎮静困難	興奮状態	特発性発疹
再発腫瘤近傍	腫瘤	頭部皮下腫瘍
右下腿麻痺	下肢麻痺	咽頭発赤
切除不能多発性肝転移	転移性肝腫瘍	ポリープ
腹腔内膿瘍形成	膿瘍	急性膵炎
発作性上室性頻拍	発作性上室頻拍	奇形
筋肉痛生	筋肉痛	ＥＢウイルス感染症
腰椎滑り症	腰椎すべり症	多発性腎結石
淡血性胸水	血性胸水	下葉肺癌
腎被膜下出血	外傷性腎被膜下血腫	頬部擦過創
仙骨部褥瘡痕	仙骨部褥瘡	クリオグロブリン血症性血管炎
左肝腫瘍	肝腫瘍	尿管回腸導管吻合部狭窄
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	花粉症
リンパ腺腫脹	リンパ節腫大	新生児仮死
心室二段脈	心室性二段脈	多部位リンパ節転移
鼻腔腫瘍摘出	鼻腔腫瘍	不整脈
