出現形	正解	予測
痰貯留多	喀痰	過剰喀痰
皮膚リンパ腫	菌状息肉症	皮膚Ｔ細胞リンパ腫
個細胞壊死	壊死	皮膚壊死
左大腿骨顆上骨折	大腿骨外顆骨折	大腿骨顆上骨折
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	非感染性大腸炎
口腔粘膜浮腫	浮腫	鼻咽頭浮腫
閉塞性膵炎	膵炎	急性膵炎
多発性脾膿瘍	脾膿瘍	多発性肝膿瘍
舌扁平上皮癌	舌癌	肺扁平上皮癌
両側肺門部浸潤影	胸部異常陰影	肺門部異常陰影
脳障害	脳症	小脳機能障害
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
抗癌剤漏出	薬剤漏出性皮膚障害	抗癌剤漏出性皮膚障害
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	ＣＡＤＡＳＩＬ
発汗多量	多汗症	代償性発汗
右上葉肺小細胞癌	上葉肺大細胞癌	上葉非小細胞肺癌
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	ＡＩＤＳ
左後頭葉梗塞	脳梗塞	再発性脳梗塞
難治性イレウス	イレウス	偽性イレウス
大腸菌菌血症	菌血症	腸管出血性大腸菌感染症
右前頭葉出血	脳出血	前房出血
仙椎陳旧性骨折	陳旧性骨折	陳旧性腰椎骨折
乳癌既往	乳癌	非浸潤性乳癌
心室中隔穿孔	心室中隔欠損症	急性心筋梗塞後心室中隔穿孔
ぼんやり感持続	反応性低下	体感消失
皮疹不変	発疹	全身発疹
創部痛	術創部痛	項部痛
腸閉塞歴	イレウス	直腸閉鎖
紅斑局面多発	紅斑症	水疱性多形紅斑
下部進行食道癌	食道癌	下部食道癌
無γグロブリン血症	無ガンマグロブリン血症	Ｘ連鎖無ガンマグロブリン血症
手首疼痛	疼痛	手背部痛
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	ＣＡＤＡＳＩＬ
体動時息ぎれ	労作時呼吸困難	行動緩慢
一部浮腫	浮腫	全身性浮腫
ふらつき注意	よろめき歩行	よろめき感
新出肝転移	転移性肝癌	転移性肝腫瘍
脊椎カリエス	脊椎結核	脊椎カリエス後遺症
行動障害	素行障害	感覚運動障害
小豆大紅斑	紅斑症	多形紅斑
ＦＳＧＳ	巣状糸球体硬化症	ＡＩＤＳ
腹腔鏡補助下子宮筋腫核	子宮筋腫	巨大子宮筋腫
神経根障害	神経根炎	胸髄神経根障害
糖尿病性腎症１期	腎性糖尿	１型糖尿病性腎症第１期
左前頭葉心原性脳梗塞	心原性脳塞栓症	心原性小脳梗塞
閉塞性尿路感染	尿路感染症	感染後尿道狭窄
顔面蝶形紅斑	ＬＥ蝶形皮疹	多形紅斑
仙骨部色素沈着	色素異常症	鉄色素沈着
肥満糖尿病	糖尿病	前糖尿病
左肩痛み	肩部筋痛	肩部痛
ＰＳＶＴ発作	発作性上室頻拍	ＡＩＤＳ
ＤＭＮ　２期	糖尿病	ＨＤＬＳ
労作時胸部絞扼感	胸内苦悶	足部絞扼性神経障害
右膝変形	変形性膝関節症	足部変形
骨性腫瘤	腫瘤	骨腫瘤
精神病様症状	精神病	症状精神病
項頸部痛	頚部痛	項部痛
左大腿骨転子部粉砕骨折	転子下骨折	大腿骨転子部骨折
最近眠気	非器質性過眠症	睡眠薬依存
ＶＨＤ	心臓弁膜症	ＨＤＬＳ
重症肺血栓塞栓症	肺塞栓症	肺血栓塞栓症
右乳突蜂巣	乳様突起炎	先天性蜂巣状肺
右肺尖部気胸	気胸	人工気胸
骨盤内子宮内膜症	子宮内膜症	骨盤子宮内膜症
局麻薬アレルギー	薬物過敏症	抗アレルギー薬中毒
右肩関節亜脱臼半横指	肩関節亜脱臼	肩関節前方亜脱臼
慢性蕁麻疹	慢性じんま疹	麻疹
高分化型漿液性腺癌	癌	甲状腺未分化癌
外側疼痛	疼痛	急性疼痛
卵巣癌再発卵巣癌	卵巣癌	再発卵巣癌
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	胞状腺腫
脳血栓塞栓症	脳血管閉塞性脳梗塞	脳塞栓症
左リウマチ性肘関節症	関節リウマチ・膝関節	関節リウマチ・肘関節
気分不快時	悪心	気分異常
脂肪性腫瘤	脂肪腫	脊髄脂肪髄膜瘤
ウィルス性肺炎	肺炎	ウイルス性肺炎
類円形紅斑	紅斑症	多形紅斑
書字不能	書痙	書字障害
夜間不眠状態	不眠症	不規則睡眠
熱型	発熱	夏期熱
骨盤内充実性腫瘍	骨盤腫瘍	骨盤内良性軟部腫瘍
両側角乾燥性結膜炎	結膜炎	乾性角結膜炎
微熱持続	微熱	持続熱
夕方浮腫	浮腫	顔面浮腫
直腸肛門奇形	鎖肛	胃腸奇形
右大腿部腫瘍	大腿悪性軟部腫瘍	大腿腫瘍
壊死性遊走性紅斑	遊走性紅斑	慢性遊走性紅斑
上大静脈血栓	静脈血栓症	下大静脈血栓症
骨盤内ＬＮ転移	骨盤内リンパ節転移	骨盤転移
ＰＫＤ	多発性のう胞腎	ＰＣＷＨ
分水嶺脳梗塞	脳梗塞	分水界梗塞
上皮性腫瘍	腫瘤	前立腺上皮内腫瘍
大球性正色素貧血	大球性貧血	正球性正色素性貧血
挙上空腸穿孔	腸穿孔	直腸穿孔
肛門周囲びらん	外痔びらん	肛門部びらん
胸部不快	胸内苦悶	胸部不快感
下葉肺炎	肺炎	大葉性肺炎
右足根部粉砕骨折	粉砕骨折	上腕骨粉砕骨折
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	多発性ラクナ梗塞
出血多量	急性大量出血	多量出血
腹水多量	腹水症	異常腹水
腸間膜リンパ管腫	リンパ管腫	腸間膜リンパ節腫脹
右乳腺線維腫症	線維腫	乳腺線維腫
肺野鬱血像	肺野異常陰影	肺胞出血
陰嚢びらん	陰のうびらん	陰茎びらん
精神的ショック	ショック	心原性ショック
右上腕骨外側上顆炎	外側上顆炎	上腕骨骨髄炎
子宮頚上皮内癌	子宮頚部上皮内癌	子宮頚管上皮内癌
難治性非定型性抗酸菌症	非結核性抗酸菌症	多剤耐性腸球菌感染症
大後頭孔狭窄	軟骨形成不全症	後天性後鼻孔狭窄
熱型変化	発熱	突発性発熱
月経痛コントロール不十分	月経痛	スルーダー神経痛
右ＤＶＴ	深部静脈血栓症	ＡＶＭ
非特異的胸痛	胸痛	反復性胸痛
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	ＭＲＳＡ敗血症
重症細菌性敗血症	敗血症	放線菌症性敗血症
腹直筋膜下血腫	筋肉内血腫	腹壁下血腫
関連腎臓病	腎疾患	慢性腎臓病
左腰部疼痛	腰痛症	腰殿部痛
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	ＨＴＬＶ−１感染症
非ケトン性高血糖	高血糖高浸透圧症候群	ケトン性低血糖症
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	ＭＲＳＡ腸炎
声帯浮腫	声帯炎	声門浮腫
咳嗽持続	咳	慢性咳嗽
左側下顎骨嚢胞	顎骨のう胞	上皮性顎骨のう胞
胆管閉鎖症	胆管閉塞症	胆道閉鎖症
シャント吻合部狭窄	透析シャント狭窄	吻合部狭窄
無気力	無力症	無気肺
上肢疼痛	疼痛	上肢痛
Ｔｕｒｎｅｒ症候群	ターナー症候群	ＶＡＴＥＲ症候群
左心不全徴候	心不全	左心不全
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	ＡＬＫ融合遺伝子陽性非小細胞肺癌
朝方疼痛	疼痛	慢性疼痛
蜂窩肺形成	蜂窩織炎	先天性蜂巣状肺
右ＩＣＡ高度狭窄	内頚動脈狭窄症	小脳動脈狭窄
膵体部嚢胞	膵のう胞	膵漿液性のう胞腫瘍
非ヘルペス性辺縁系脳炎	辺縁系脳炎	ヘルペス脳炎
無症候性ＶＴ	心室頻拍	ＱＴ短縮症候群
口腔清掃	個人衛生の著しいレベル低下	口腔乾燥症
無石性胆嚢炎	胆のう炎	原発性胆汁性胆管炎
残像腫瘍	腫瘍	縦隔腫瘍
両顎下腺腫大	顎下腺肥大	顎下腺多形腺腫
夜間中途覚醒時	睡眠障害	不規則睡眠
薬剤性骨髄抑制	骨髄機能低下	骨髄増殖性疾患
中枢神経悪性リンパ腫再発	悪性リンパ腫	脳悪性リンパ腫
非Ｂ非Ｃ型肝硬変	肝硬変症	Ｂ型肝硬変
足がむくみ	下肢浮腫	ざんごう足
難治性浮腫	高度浮腫	周期性浮腫
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
未分化癌	癌	肺未分化癌
両側副腎悪性リンパ腫	悪性リンパ腫	脾悪性リンパ腫
炎症性貧血	貧血	慢性感染性貧血
両下肢掻痒感	皮膚そう痒症	そう痒
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	ＭＥＬＡＳ症候群
右大脳半球多発脳梗塞	多発性脳梗塞	多発性小脳梗塞
鎮静困難	興奮状態	行動緩慢
再発腫瘤近傍	腫瘤	多発性皮下腫瘤
腹腔内膿瘍形成	膿瘍	腹腔内膿瘍
腎被膜下出血	外傷性腎被膜下血腫	副腎出血
リンパ腺腫脹	リンパ節腫大	縦隔リンパ節腫脹
疼痛時頓用	疼痛	慢性疼痛
多房性膿瘍	膿瘍	環指膿瘍
右耳介後部痛	耳痛症	耳下部痛
無呼吸症候群	無呼吸発作	急性呼吸窮迫症候群
出血過多	出血	多量出血
甲状腺嚢腫	甲状腺のう胞	甲状腺腫
両側浸出性中耳炎	滲出性中耳炎	慢性滲出性中耳炎
覚醒度	麻酔覚醒遅延	覚醒剤依存症
有意弁膜症	弁膜炎	連合弁膜症
右下肺野無気肺	無気肺	上葉無気肺
小脳性失調	小脳性運動失調症	急性小脳性失調症
主幹動脈狭窄	脳動脈狭窄症	動脈狭窄
創部皮下血腫	外傷性皮下血腫	頭部皮下血腫
両肺小結節影	肺野異常陰影	肺野円形陰影
造影剤アレルギー歴	薬物過敏症	刺虫アレルギー
慢性的な抑うつ気分	うつ状態	神経症性抑うつ状態
鼻部異物肉芽腫	皮膚異物肉芽腫	異物肉芽腫
遠隔ＬＮ転移	リンパ節転移	転移性縦隔腫瘍
子宮がん	子宮癌	子宮頚部びらん
睾丸腫脹	精巣腫脹	鼡径部腫脹
脳実質外腫瘍	腫瘍	遺伝性脳腫瘍
抑鬱感	気うつ	空気飢餓感
扁桃腺腫大	扁桃肥大	扁桃腫瘍
口内出血	口腔出血	内出血
進行肝癌	肝癌	胃進行癌
噴門部狭窄	胃狭窄	噴門狭窄
突発性腎出血	腎出血	特発性腎出血
傍大動脈ＬＮ	大動脈周囲リンパ節転移	遺残性頚動脈脳底動脈吻合
左椎骨動脈低形成	骨髄低形成	椎骨脳底動脈循環不全
左房拡張	心拡大	共通房室口
下肢筋痛	下肢筋肉痛	下肢痛
蠕動不良	異常腸音	運動失行
黒色丘疹	丘疹	紅色丘疹
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	ＭＲＣＮＳ敗血症
右上葉原発肺小細胞癌	小細胞肺癌	上葉非小細胞肺癌
出血源不詳	出血	出血傾向
浸潤癌化所見	癌	肺未分化癌
痔核脱出	痔核	脱出性内痔核
重症膵炎	膵炎	重症急性膵炎
痛みアリ	疼痛	前頭部痛
右足疼痛	疼痛	足痛
増殖前網膜症	網膜症	増殖性網膜症
傍神経節腫瘍	傍神経節腫	神経細胞腫瘍
小腸膀胱瘻	膀胱皮膚瘻	膀胱腸瘻
少量左胸水	胸水貯留	血性胸水
多発ＨＣＣ再発	肝細胞癌	ＨＣＡＨＣ
結核性嚢腫	結核	結核腫
大腿腫脹	下腿腫脹	大腿部腫脹
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	ＭＲＣＮＳ感染症
両下肢圧痕性浮腫	クインケ浮腫	上肢浮腫
下部腸間膜動脈出血	動脈性出血	上腸間膜動脈解離
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	家族性高リポ蛋白血症２ｂ型
喘息発作様症状	気管支喘息発作	運動誘発性喘息
分食道癌	食道癌	食道未分化癌
多少便秘気味	便秘症	単純性便秘
全身皮膚発赤	発赤	下腿発赤
多発肺嚢胞	肺のう胞	先天性のう胞肺
口腔内びらん	口唇びらん	鼻腔内びらん
紅斑熱群リケッチア症	リケッチア感染症	日本紅斑熱
ＩＴＰ	特発性血小板減少性紫斑病	ＡＩＤＳ
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	Ｅｕｔｈｙｒｏｉｄ　Ｓｉｃｋ症候群
左室圧排	右室肥大	総排泄腔外反症
両側声帯外転障害	声帯外転筋麻痺	発声障害
一部水疱形成	水疱症	単純型表皮水疱症
飲みこみにくさ	嚥下障害	多飲症
副腎ヒストプラズマ感染症	真菌症	マイコプラズマ感染症
両松葉杖歩行	歩行障害	内転歩行
遺伝性低尿酸血症	低尿酸血症	続発性高尿酸血症
小腸皮膚瘻	皮膚瘻	直腸皮膚瘻
非細菌性血栓性疣贅	疣贅	化膿性疣贅
特発性腸間膜血腫	血腫	大腸血管腫
肝骨転移	骨転移癌	肝癌骨転移
乳腺線維腫症	線維腫	乳腺線維腫
術後左反回神経麻痺	反回神経麻痺	術後性反回神経麻痺
無症候性髄膜腫	髄膜腫	悪性脊髄髄膜腫
表皮内水疱形成	先天性表皮水疱症	単純型表皮水疱症
後頚部圧痛	圧痛	腹部圧痛
良性胆道狭窄	胆管狭窄症	術後胆管狭窄
ＣＫＤ　腎硬化症	腎硬化症	良性腎硬化症
前頭葉出血	出血	前房出血
有茎性乳頭状腫瘍	腫瘍	充実性偽乳頭状腫瘍
理解困難	言語理解障害	呼吸困難
腹腔内敗血症	敗血症	炭疽敗血症
膵尾部腫大	膵腫大	膵体尾部腫瘍
過呼吸状態	過換気症	呼吸困難
右肺門部原発肺小細胞癌	小細胞肺癌	肺門部非小細胞癌
胃癌骨髄癌腫症	骨髄転移	胃体部癌
眼乾燥感	ドライアイ	眼瞼乾皮症
内側縦束症候群	核間性眼筋麻痺	双線弧線装置破損
夜低血糖	低血糖	夜間低血糖症
左上下肢軽度麻痺	四肢麻痺	下肢麻痺
下肢痙性	痙性対麻痺	下肢痙攣
皮疹状況	発疹	斑状皮疹
髄外形質細胞腫	骨外性形質細胞腫	形質細胞腫
ｍａｌｉｇｎａｎｔ　ｌｙｍｐｈｏｍａ	悪性リンパ腫	ＣＡＤＡＳＩＬ
重症ＡＧＨＤ	重症成人成長ホルモン分泌不全	高ＩｇＤ血症
湿疹性病変	湿疹	急性湿疹
手内筋萎縮	筋萎縮症	上肢筋萎縮
昨夜微熱	微熱	慢性微熱
腓腹筋痙攣	痙攣	腓腹筋痛
破壊性脊椎症	脊椎症	外傷性脊椎症
独歩不可	歩行障害	歩行困難
骨破壊進行	関節リウマチ	人工骨頭破損
下肢白癬	白癬	四肢白癬
熱苦症状	発熱	熱疲労
肺動脈弁閉鎖症	肺動脈弁閉鎖	純型肺動脈弁閉鎖症
