出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	歩容異常
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	中指中節骨開放骨折
痰貯留多	喀痰	淋菌性結膜炎
皮膚リンパ腫	菌状息肉症	趾化膿創
個細胞壊死	壊死	心臓粘液腫
左大腿骨顆上骨折	大腿骨外顆骨折	頚椎化膿性脊椎炎
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	発熱発疹
口腔粘膜浮腫	浮腫	妊娠高血圧網膜症
腟粘膜発赤	発赤	デュビン・ジョンソン症候群
レム睡眠行動異常症	レム睡眠行動障害	脳血管先天奇形
閉塞性膵炎	膵炎	騒音性難聴
脱髄性疾患	脱髄疾患	点状出血
多発性脾膿瘍	脾膿瘍	背部悪性末梢神経鞘腫
間質性肺水腫	肺水腫	聴覚消失
無動性無言	無動性無言症	エボラ出血熱
舌扁平上皮癌	舌癌	腟のう胞
両側肺門部浸潤影	胸部異常陰影	偽視神経炎
軽度悪心	悪心	髄液混濁
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	心因性腹痛
蛋白尿減少	蛋白尿	環椎破裂骨折
脳障害	脳症	顔面神経損傷
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	グラスアイオノマーセメント破損
左一側性反回神経麻痺	一側性反回神経麻痺	間質性肺炎
イレウス様	イレウス	外耳道奇形
膵炎併発	膵炎	壊死性膵炎
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	血小板無力症
抗癌剤漏出	薬剤漏出性皮膚障害	気管支喘息発作
水痘帯状疱疹	帯状疱疹	神経母斑症
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	サルモネラ敗血症
発汗多量	多汗症	顎関節偽痛風
早発黄疸	早発性黄疸	１型糖尿病性ケトアシドーシス
急性細菌性気管支炎	急性気管支炎	眼内レンズの機械的合併症
右上葉肺小細胞癌	上葉肺大細胞癌	頚部蜂巣炎
腟癌１期	腟癌	中心性脈絡膜炎
会陰部発赤	発赤	口蹄疫
嚥下時痛軽度	嚥下痛	フライ症候群
左顔面血管腫	顔面血管腫	スモーカーメラニン沈着症
鼻汁多く	鼻汁	急性呼吸器感染症
口腔内出血痕	口腔出血	外耳道閉塞性角化症
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	サルモネラ敗血症
夜両足痛	足痛	角膜上皮剥離
左後頭葉梗塞	脳梗塞	大腿骨顆部骨折
左内眼角基底細胞癌	眼角基底細胞癌	麻痺側浮腫
難治性イレウス	イレウス	外耳道奇形
副鼻腔腫瘍	鼻副鼻腔腫瘍	アルカリホスファターゼ値異常
大腸菌菌血症	菌血症	線維肉腫
右前頭葉出血	脳出血	咽頭麻痺
左膝部痛	膝窩部痛	産褥敗血症
仙椎陳旧性骨折	陳旧性骨折	タナトフォリック骨異形成症
乳癌既往	乳癌	植込型除細動器電池消耗
軽度咽頭発赤	咽頭発赤	上腕動脈瘤
痙攣起	痙攣	ＨＤＬＳ
下肢浮腫圧痕	下肢浮腫	腹圧性尿失禁
左側頬部腫脹	頬部腫脹	充実性卵巣腫瘍
心室中隔穿孔	心室中隔欠損症	転移性蝶形骨洞癌
四肢浮腫軽度	四肢浮腫	先天性反張膝
大腸ポリープ　ポリペク後	大腸ポリープ	先天性魚鱗癬
腰椎椎体椎間板炎	腰椎椎間板炎	新生児大腸菌敗血症
左下葉肺炎悪化	大葉性肺炎	子宮頚部環状剥離
ぼんやり感持続	反応性低下	エッドウズ・スプールウェイ症候群
右鼠径部痛	鼡径部痛	ビタミンＣ欠乏症
皮疹不変	発疹	肺結核・鏡検確認あり
創部痛	術創部痛	大腿単独欠損
軽度右気胸	気胸	大動脈弁閉鎖不全症兼肺動脈弁狭窄症
腸閉塞歴	イレウス	網膜中心静脈閉塞症による黄斑浮腫
左大腿骨骨折	大腿骨骨折	大腿神経麻痺
紅斑局面多発	紅斑症	強皮症性ミオパチー
下部進行食道癌	食道癌	急性右室梗塞
無γグロブリン血症	無ガンマグロブリン血症	アッシャー症候群
子宮頸管ポリープ切除	子宮頚管ポリープ	角膜移植拒絶反応
手首疼痛	疼痛	角膜上皮剥離
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	シャガス病脊髄炎
体動時息ぎれ	労作時呼吸困難	後天性動静脈瘻
一部浮腫	浮腫	器質性の妄想状態および幻覚妄想状態
ふらつき注意	よろめき歩行	口部ジスキネジア
左中耳炎	中耳炎	陰茎萎縮
胃食道逆流症状	胃食道逆流症	顎関節雑音
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	総義歯義歯床下粘膜異常
新出肝転移	転移性肝癌	膀胱下垂
脊椎カリエス	脊椎結核	示指ガングリオン
行動障害	素行障害	腹壁ヘルニア
