出現形	正解	予測
痰貯留多	喀痰	過剰喀痰
皮膚リンパ腫	菌状息肉症	皮膚良性リンパ腺腫症
左大腿骨顆上骨折	大腿骨外顆骨折	大腿骨顆上骨折
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	抗生物質起因性大腸炎
口腔粘膜浮腫	浮腫	内分泌性浮腫
腟粘膜発赤	発赤	扁桃瘢痕
閉塞性膵炎	膵炎	慢性膵炎
多発性脾膿瘍	脾膿瘍	多発性肝膿瘍
間質性肺水腫	肺水腫	急性肺水腫
舌扁平上皮癌	舌癌	舌上皮内癌
両側肺門部浸潤影	胸部異常陰影	下肺野陰影
脳障害	脳症	急性脳症
膵炎併発	膵炎	急性膵炎
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	ＨＤＬＳ
抗癌剤漏出	薬剤漏出性皮膚障害	抗癌剤漏出性皮膚障害
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	ＡＩＤＳ
発汗多量	多汗症	発汗障害
会陰部発赤	発赤	下腿発赤
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	ＡＩＤＳ
左後頭葉梗塞	脳梗塞	急性右室梗塞
大腸菌菌血症	菌血症	大腸菌感染症
右前頭葉出血	脳出血	前房出血
仙椎陳旧性骨折	陳旧性骨折	仙骨骨折
乳癌既往	乳癌	進行乳癌
下肢浮腫圧痕	下肢浮腫	上肢浮腫
心室中隔穿孔	心室中隔欠損症	鼻中隔穿孔
左下葉肺炎悪化	大葉性肺炎	急性肺炎
ぼんやり感持続	反応性低下	こわばり感
右鼠径部痛	鼡径部痛	前胸壁痛
皮疹不変	発疹	全身発疹
腸閉塞歴	イレウス	結腸閉塞
紅斑局面多発	紅斑症	多形紅斑
下部進行食道癌	食道癌	下部食道癌
無γグロブリン血症	無ガンマグロブリン血症	Ｘ連鎖無ガンマグロブリン血症
手首疼痛	疼痛	足痛
