出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	構音障害
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	腸骨骨折
痰貯留多	喀痰	空隙歯列弓
皮膚リンパ腫	菌状息肉症	外傷性両手切断
個細胞壊死	壊死	広範囲顎骨支持型補綴物脱離
左大腿骨顆上骨折	大腿骨外顆骨折	腓骨開放性粉砕骨折
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	頚髄麻痺
口腔粘膜浮腫	浮腫	気道損傷・胸腔に達する開放創合併なし
腟粘膜発赤	発赤	肩鎖関節挫傷
レム睡眠行動異常症	レム睡眠行動障害	胸部下部食道癌
閉塞性膵炎	膵炎	尺骨骨折の遷延癒合
脱髄性疾患	脱髄疾患	果糖血症
多発性脾膿瘍	脾膿瘍	尿管炎
間質性肺水腫	肺水腫	下腿メルケル細胞癌
無動性無言	無動性無言症	シュワルツ・ヤンペル症候群
舌扁平上皮癌	舌癌	寄生虫症
両側肺門部浸潤影	胸部異常陰影	前大脳動脈解離
軽度悪心	悪心	成人Ｔ細胞白血病リンパ腫・慢性型
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	痙性扁平足
蛋白尿減少	蛋白尿	放射線食道炎
脳障害	脳症	脊髄髄膜腫瘍
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	マイボーム腺炎
左一側性反回神経麻痺	一側性反回神経麻痺	嗅粘膜性嗅覚障害
イレウス様	イレウス	脳循環不全
膵炎併発	膵炎	皮膚粘膜リーシュマニア症
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	手骨開放骨折
抗癌剤漏出	薬剤漏出性皮膚障害	延髄血管芽細胞腫
水痘帯状疱疹	帯状疱疹	前頭頂骨進入
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	乳糖不耐性下痢症
発汗多量	多汗症	前頭骨内板過骨症
早発黄疸	早発性黄疸	直腸悪性黒色腫
急性細菌性気管支炎	急性気管支炎	迷走神経損傷
右上葉肺小細胞癌	上葉肺大細胞癌	腹腔内腫瘤
腟癌１期	腟癌	子宮頚部びらん
会陰部発赤	発赤	左上大静脈遺残
嚥下時痛軽度	嚥下痛	インフルエンザ性喉頭炎
左顔面血管腫	顔面血管腫	足部メルケル細胞癌
鼻汁多く	鼻汁	異常不随意運動
口腔内出血痕	口腔出血	上腕悪性末梢神経鞘腫
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	乳糖不耐性下痢症
夜両足痛	足痛	ピーナッツアレルギー
左後頭葉梗塞	脳梗塞	椎体骨折
左内眼角基底細胞癌	眼角基底細胞癌	膝関節外側側副靱帯捻挫
難治性イレウス	イレウス	脳循環不全
副鼻腔腫瘍	鼻副鼻腔腫瘍	先天性貧血
大腸菌菌血症	菌血症	趾圧挫傷
右前頭葉出血	脳出血	心膜のう胞
左膝部痛	膝窩部痛	人工早産
仙椎陳旧性骨折	陳旧性骨折	細気管支拡張症
乳癌既往	乳癌	外耳道ボーエン病
軽度咽頭発赤	咽頭発赤	足底多汗症
痙攣起	痙攣	側頭葉症候群
下肢浮腫圧痕	下肢浮腫	示指側副靱帯断裂
左側頬部腫脹	頬部腫脹	コレ・シカール症候群
心室中隔穿孔	心室中隔欠損症	結節性多発動脈炎
四肢浮腫軽度	四肢浮腫	ヒトデ毒
大腸ポリープ　ポリペク後	大腸ポリープ	全子宮内反症
腰椎椎体椎間板炎	腰椎椎間板炎	胸部良性軟部腫瘍
左下葉肺炎悪化	大葉性肺炎	陰茎癌
ぼんやり感持続	反応性低下	足関節外側靱帯損傷
右鼠径部痛	鼡径部痛	肋間筋不全断裂
皮疹不変	発疹	膝部血腫
創部痛	術創部痛	重症再生不良性貧血
軽度右気胸	気胸	滲出性腹水
腸閉塞歴	イレウス	肺サルコイドーシス
左大腿骨骨折	大腿骨骨折	壊死性腸炎
紅斑局面多発	紅斑症	異常体重増加
下部進行食道癌	食道癌	網膜前出血
無γグロブリン血症	無ガンマグロブリン血症	１型糖尿病性低血糖性昏睡
子宮頸管ポリープ切除	子宮頚管ポリープ	悪性高血圧症
手首疼痛	疼痛	ピーナッツアレルギー
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	悪性小脳腫瘍
体動時息ぎれ	労作時呼吸困難	遺伝性運動感覚性ニューロパチー
一部浮腫	浮腫	外耳道癌
ふらつき注意	よろめき歩行	多発性骨盤内臓器損傷
左中耳炎	中耳炎	迷路瘻
胃食道逆流症状	胃食道逆流症	回盲部憩室
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	軸椎骨折
新出肝転移	転移性肝癌	急性硬膜外血腫
脊椎カリエス	脊椎結核	肘頭部挫傷
行動障害	素行障害	大腿骨多発骨折
妊娠性糖尿病	妊娠糖尿病	示指皮膚癌
小豆大紅斑	紅斑症	異常体重増加
ＦＳＧＳ	巣状糸球体硬化症	手骨開放骨折
左寛骨臼骨折	寛骨臼骨折	斜乱視
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	子宮性無月経
腹腔鏡補助下子宮筋腫核	子宮筋腫	母指骨性マレット指
両下肢静脈血栓	下肢静脈血栓症	口腔腫瘍
神経根障害	神経根炎	腸間膜のう腫
クモ膜下出血	くも膜下出血	手関節部滑膜肉腫
後鼻汁症候群	後鼻漏	グラム陰性桿菌感染症
糖尿病性腎症１期	腎性糖尿	既往子宮術後妊娠
左臀部慢性膿皮症	慢性膿皮症	急性単純性歯髄炎
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	紫外線角結膜炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	メコン住血吸虫症
閉塞性尿路感染	尿路感染症	高血圧性頭痛
顔面蝶形紅斑	ＬＥ蝶形皮疹	異常体重増加
上行結腸癌肝転移	転移性肝癌	示指悪性黒色腫
仙骨部色素沈着	色素異常症	肺動脈弁狭窄症
肥満糖尿病	糖尿病	単一臍動脈
左肩痛み	肩部筋痛	脛骨前筋症候群
ＰＳＶＴ発作	発作性上室頻拍	手骨開放骨折
顎変形症術後顎変形症	顎変形症	副唾液腺管
ＤＭＮ　２期	糖尿病	悪性小脳腫瘍
労作時胸部絞扼感	胸内苦悶	慢性腎臓病ステージＧ３ｂ
右膝変形	変形性膝関節症	流産熱
指趾潰瘍	趾皮膚潰瘍	Ｂ群連鎖球菌肺炎
２型食道癌	食道癌	反復性耳下腺炎
骨性腫瘤	腫瘤	良性黒色表皮腫
外傷性脊髄損傷	脊髄損傷	頭蓋底陥入症
下肢結節性紅斑	結節性紅斑	ペースメーカ不全
左動眼神経麻痺	動眼神経麻痺	穿通性頭部外傷
家族性海綿状血管腫	海綿状血管腫	白癬
術中直腸損傷	直腸損傷	拘禁反応
下肢動脈瘤	下肢の動脈瘤	新生児膿痂疹
精神病様症状	精神病	ＥＢウイルス伝染性単核症
項頸部痛	頚部痛	アルコール性脳症候群
頸部白斑	白斑	ベネズエラ馬脳脊髄炎ウイルス病
左大腿骨転子部粉砕骨折	転子下骨折	トリコモナス腟炎
最近眠気	非器質性過眠症	線維性骨炎
ＶＨＤ	心臓弁膜症	手骨開放骨折
夜頻尿	夜間頻尿症	急性子宮内膜炎
回盲部炎	回盲部憩室炎	盲腸狭窄症
重症肺血栓塞栓症	肺塞栓症	下顎歯槽骨炎
左歯痛	歯痛	骨端線成長停止
腹膜播種切除	腹膜播種	房室接合部期外収縮
右乳突蜂巣	乳様突起炎	薬剤性糖尿病・昏睡合併あり
右肺尖部気胸	気胸	レリー・ワイル症候群
骨盤内子宮内膜症	子宮内膜症	小腸閉鎖
左頬部痛	頬部痛	鞍鼻
局麻薬アレルギー	薬物過敏症	手指関節拘縮
肺クリプトコックス症	急性肺クリプトコッカス症	帯環金属冠過高
右肩関節亜脱臼半横指	肩関節亜脱臼	指節癒合症
慢性蕁麻疹	慢性じんま疹	不規則月経
マラセチア毛嚢炎	マラセチア毛包炎	慢性咳嗽
高分化型漿液性腺癌	癌	中指屈筋腱癒着
腫瘍床	腫瘍	急性肺性心
左膀胱尿管逆流症	膀胱尿管逆流	胃空腸周囲炎
外側疼痛	疼痛	頬部挫傷
卵巣癌再発卵巣癌	卵巣癌	慢性気管炎
錐体路病変	錐体外路系疾患	脳卒中後片麻痺
リンパ球性白血病	リンパ性白血病	膝部腫脹
クラミジア感染	クラミジア感染症	頬部血管肉腫
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	胃体部癌
