出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	外傷早期てんかん
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	肘部絞扼性神経障害
痰貯留多	喀痰	先天性円錐水晶体
皮膚リンパ腫	菌状息肉症	低カリウム血症
個細胞壊死	壊死	須毛偽毛包のう炎
左大腿骨顆上骨折	大腿骨外顆骨折	胸椎偽関節
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	先天性肘脱臼
口腔粘膜浮腫	浮腫	サルコイド筋炎
腟粘膜発赤	発赤	皮膚色異常
レム睡眠行動異常症	レム睡眠行動障害	難治性口内炎
閉塞性膵炎	膵炎	高蛋白血症
脱髄性疾患	脱髄疾患	神経原性壊疽
多発性脾膿瘍	脾膿瘍	鼻前庭せつ
間質性肺水腫	肺水腫	腸瘻
無動性無言	無動性無言症	肺腫瘍
舌扁平上皮癌	舌癌	脳軟化症
両側肺門部浸潤影	胸部異常陰影	ＩＣＵ症候群
軽度悪心	悪心	ビタミンＫ欠乏による凝固因子欠乏
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	前額部打撲傷
蛋白尿減少	蛋白尿	急性錯乱状態
脳障害	脳症	歯肉裂創
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	滑膜断裂
左一側性反回神経麻痺	一側性反回神経麻痺	緩徐進行１型糖尿病・関節合併症あり
イレウス様	イレウス	母指切断
膵炎併発	膵炎	続発性血小板減少性紫斑病
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	急性腎前性腎不全
抗癌剤漏出	薬剤漏出性皮膚障害	骨盤内軟骨腫
水痘帯状疱疹	帯状疱疹	卵巣損傷
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	足どり不安定
発汗多量	多汗症	インレー不適合
早発黄疸	早発性黄疸	エプスタイン病
急性細菌性気管支炎	急性気管支炎	尿道断裂・骨盤腔に達する開放創合併なし
右上葉肺小細胞癌	上葉肺大細胞癌	化学性食道炎
腟癌１期	腟癌	上腕前腕骨折
